19856	River Command 
19920	River Tac 
19984	Admin 
20080	Dispatch 2 Tac 
20112	Dispatch 3 Tac 
20176	Special 1 
20208	Special 2 
20272	Junior Guards Ops 
20304	Junior Guards Tac 
20336	Training 1 
20368	Training 2 
20816	Tactical 1 - Tecolote Cyn, Marian Bear, Mission Vly Preserve, Rose Cyn 
20496	Tactical 2 - Penasquitos, Black Mtn, Otay Valley 
20528	Tactical 3 - Mission Trails, Cowles Mtn 
20624	Tactical 4 - Mission Bay Park, Shoreline Parks 
20720	Tactical 5 - Balboa Park, Chollas Lake 
25104	Park Rangers - Reservoir Lakes 
25168	Park Rangers 
9392	Adult Protective Services 
11536	DYN Regroup for Lost or Stolen Radios 
16144	Communications & Electronics 1 
16176	Communications & Electronics 2 
16208	Communications & Electronics 3 
16240	Communications & Electronics 4 
20752	Parks Beach Maintenance 
20784	Mount Hope Cemetery 
20912	Station 38 Calling - Dispatch for Misc Public Works Depts 
20944	Public Works After Hours City Dispatch - Station 38 (Evenings, Nights, Weekends) 
20976	Water Dispatch 
21104	Water 
21136	Water 
21168	Water 
21200	Water 
21232	Water 
21264	Water 
21296	Water 
21328	Water 
21392	Water 
21488	Water 
21520	Water 
22416	Radio Shop 
22480	Public Works 
23184	Public Works 
23216	Maintenance 
23472	Maintenance 
23504	Public Works 
23536	Public Works - Storm Water 
23760	Wastewater - South Bay Water Reclamation Plant 
23856	Water 1E 
24080	Water 2D 
24144	Public Works Maintenance 2B 
24368	Public Works Maintenance 2C 
24624	Water - Alvarado Water Treatment Plant 
27216	Building Inspection A 
27312	Building Inspection B 
27344	Building Inspection C 
27408	Building Inspection D 
27536	Code Enforcement 1A 
27568	Code Enforcement 1B 
27600	Code Enforcement 1C 
27664	Code Enforcement 1D 
28016	Public Works 
28048	Public Works 
32656	Land Fill 1 (Miramar Landfill) 
32688	Land Fill 2 (Miramar Landfill) 
33136	SDCCU Stadium Security 
9808	Police Administration 
9968	Police Dispatch 
10000	Transportation A 
10032	Transportation A (84 passenger Buses) 
10128	Transportation C (48 Passenger Buses) 
10192	Transportation D (48 Passenger Wheelchair Buses) 
10352	Transportation 
10416	Maintenance 
10480	Security 
10672	Transportation - Info 
10864	Transportation EMERGENCY 
11056	Safety and Training 
11152	Maintenance 
11248	Police Tac 1 
11344	Police Tac 2 
12528	Police Dispatch 1 
12560	Police Dispatch 2 
12624	Police Tactical 1 
12656	Police Tactical 2 
12688	Police Tactical 3 
2960	Mutual Aid 10 (Fire 7O) 
2992	Mutual Aid 20 (Fire 8O) 
3024	Mutual Aid 30 (Fire 9O) 
	
	
49520	Narcotics Task Force 2D 
49648	SWAT 2D 
49712	Criminal Intelligence Unit 2D (Encrypted) 
49776	Robbery 3D 
49808	Robbery 4D 
49872	Vice 3D 
49968	Vice 4D 
49984	INV Tac 14D 
50000	INV Tac 15D 
50032	INV Tac 16D 
50064	INV Tac 17D 
50096	INV Tac 18D 
50256	INV Tac 23D 
