46832	b6f	DE	NW TAC	Northwest Tac (Encrypted) 	Law Tac 
48144	bc1	A	INVTC CALL	Investigations Tac Calling 	Law Tac 
48176	bc3	A	INVTC 1	INV Tac 1 	Law Tac 
48208	bc5	A	INVTC 2	INV Tac 2 	Law Tac 
48240	bc7	A	INVTC 3	INV Tac 3 	Law Tac 
48272	bc9	A	INVTC 4	INV Tac 4 	Law Tac 
48304	bcb	A	INVTC 5	INV Tac 5 	Law Tac 
48336	bcd	A	INVTC 6	INV Tac 6 	Law Tac 
48368	bcf	A	INVTC 7	INV Tac 7 	Law Tac 
48400	bd1	A	INVTC 8	INV Tac 8 	Law Tac 
48432	bd3	A	INVTC 9	INV Tac 9 	Law Tac 
48464	bd5	A	INVTC 10	INV Tac 10 	Law Tac 
48496	bd7	A	INVTC 11	INV Tac 11 	Law Tac 
48528	bd9	A	INVTC 12	INV Tac 12 	Law Tac 
48560	bdb	A	INVTC 13	INV Tac 13 	Law Tac 
49200	c03	DE	GANGS 3D	Gang Task Force 3D 	Law Tac 
49232	c05	DE	GANGS 4D	Gang Task Force 4D 	Law Tac 
49264	c07	DE	GANGS 5D	Gang Task Force 5D 	Law Tac 
49296	c09	DE	GANGS 6D	Gang Task Force 6D 	Law Tac 
49360	c0d	DE	NARC 4D	Narcotics 4D 	Law Tac 
49392	c0f	DE	NARC 5D	Narcotics 5D 	Law Tac 
49424	c11	DE	NARC 6D	Narcotics 6D 	Law Tac 
49456	c13	DE	NARC 7D	Narcotics 7D 	Law Tac 
49488	c15	DE	NARC 8D	Narcotics 8D 	Law Tac 
4688	125	A	Simulcast	Dispatch Simulcast 	Fire Dispatch 
5168	143	A	ADMIN 7A	Administration 	Fire-Talk 
5008	139	A	DISP 7B	Dispatch 	Fire Dispatch 
5232	147	A	SSC 7C	System Status Controller (ALS Medic Dispatch) 	EMS Dispatch 
8208	201	A	BLS 7D	BLS Medic Dispatch 	EMS Dispatch 
7472	1d3	A	CMD 7E	Command 7E - Medical Command 	Fire-Talk 
7408	1cf	A	TAC 7F	Tac 7F - Medical Primary Tac 	Fire-Tac 
7568	1d9	A	TAC 7G	Tac 7G - Medical Secondary Tac 	Fire-Tac 
6512	197	A	CMD 7H	Command 7H - Traffic Accidents & Grass Command 	Fire-Talk 
6448	193	A	TAC 7I	Tac 7I - Traffic Accidents & Grass Primary Tac 	Fire-Tac 
6608	19d	A	TAC 7J	Tac 7J - Traffic Accidents & Grass Secondary Tac 	Fire-Tac 
5648	161	A	TAC 7K	Tac 7K 	Fire-Tac 
